Designator,Mid X, Mid Y,Rotation,Layer,Value,Footprint
C1,5,28.25,270,Top,100n,0805
C2,20,18.00,0,Top,1u,0805
FB1,17,18.00,0,Top,FB-0805,0805
R1,18.7,26.75,0,Top,4K7,0805
R2,18.7,29.00,0,Top,4K7,0805

